"","j_hidp","j_qfhigh_dv"
"349",72916418,-8
"350",69455218,13
"351",69455218,96
"352",69455218,13
"353",69455218,1
"354",69455218,10
"355",69455218,96
"356",69455218,7
"357",69455218,13
"358",72930018,-8
"359",72930018,-8
"360",69475618,13
"361",69482418,3
"362",69489218,2
"363",69496018,5
"364",69502818,10
"365",69509618,1
"366",69509618,2
"367",69530018,16
"368",69536818,16
"369",69543618,2
"370",69543618,1
"371",69543618,7
"372",69550418,7
"373",69550418,2
"374",72936818,-8
"375",72943618,-8
"376",72943618,-8
"377",72950418,-8
"378",72950418,-8
"379",69564018,1
"380",69577618,10
"381",69577618,2
"382",72957218,-8
"383",72957218,-8
"384",69584418,12
"385",69591218,96
"386",69598018,2
"387",69598018,4
"388",72964018,-8
"389",69604818,13
"390",72964018,-8
"391",69604818,3
"392",69604818,13
"393",72977618,-8
"394",72984418,-8
"395",69611618,2
"396",69625218,96
"397",69632018,1
"398",69632018,13
"399",69638818,96
"400",69638818,96
"401",69645618,96
"402",69645618,13
"403",69652418,96
"404",69666018,96
"405",69679618,1
"406",69679618,5
"407",69686418,5
"408",69686418,96
"409",69693218,13
"410",69693218,96
"411",69700018,3
"412",69706818,96
"413",69720418,7
"414",69720418,1
"415",69727218,96
"416",69727218,96
"417",69734018,4
"418",72991218,-8
"419",69740818,3
"420",69747618,96
"421",76187218,4
"422",69761218,6
"423",69768018,14
"424",69768018,3
"425",69774818,13
"426",69774818,96
"427",69781618,13
"428",69781618,13
"429",69788418,2
"430",69788418,1
"431",69795218,-8
"432",69808818,96
"433",69808818,13
"434",69815618,13
"435",69822418,13
"436",69822418,2
"437",69836018,7
"438",69842818,14
"439",69842818,2
"440",69842818,7
"441",69856418,13
"442",69863218,7
"443",68387618,1
"444",69870018,1
"445",68530418,2
"446",69876818,1
"447",69883618,1
"448",69890418,2
"449",76064818,2
"450",69904018,3
"451",69910818,13
"452",69910818,7
"453",69910818,10
"454",69910818,13
"455",69917618,13
"456",69931218,1
"457",69938018,13
"458",76112418,2
"459",76112418,10
"460",69944818,3
"461",69944818,96
"462",69951618,1
"463",69958418,14
"464",69958418,2
"465",69972018,13
"466",72998018,-8
"467",72998018,7
"468",73011618,-8
"469",73011618,-8
"470",73018418,96
"471",69985618,13
"472",69985618,5
"473",73025218,-8
"474",69992418,16
"475",73032018,-8
"476",69999218,4
"477",69999218,13
"478",69999218,13
"479",73038818,96
"480",73038818,-8
"481",73045618,96
"482",73052418,-8
"483",73052418,-8
"484",73059218,-8
"485",73066018,-8
"486",73066018,-8
"487",73072818,-8
"488",73072818,1
"489",70019618,96
"490",73079618,2
"491",70040018,96
"492",70040018,96
"493",70053618,13
"494",70060418,3
"495",70060418,13
"496",70067218,13
"497",70074018,96
"498",70080818,2
"499",70087618,5
"500",70101218,2
"501",70108018,1
"502",70128418,2
"503",70128418,96
"504",70135218,2
"505",70135218,13
"506",70142018,13
"507",70148818,13
"508",70148818,7
"509",70148818,13
"510",70148818,7
"511",70155618,96
"512",70155618,96
"513",70162418,13
"514",70162418,14
"515",70169218,13
"516",70182818,96
"517",70182818,96
"518",70189618,13
"519",70189618,13
"520",70196418,96
"521",70196418,96
"522",73086418,-8
"523",70203218,96
"524",73086418,-8
"525",73093218,-8
"526",70210018,13
"527",73093218,-8
"528",73100018,2
"529",70216818,2
"530",70216818,1
"531",70223618,13
"532",70237218,13
"533",70244018,16
"534",70250818,4
"535",70257618,13
"536",70257618,14
"537",70257618,2
"538",70264418,96
"539",70264418,96
"540",70264418,96
"541",70271218,96
"542",68618818,7
"543",70291618,3
"544",70291618,1
"545",70298418,13
"546",70305218,13
"547",70312018,96
"548",70318818,5
"549",70318818,13
"550",70325618,7
"551",70332418,14
"552",70339218,3
"553",70352818,14
"554",70352818,14
"555",70366418,2
"556",70380018,2
"557",70386818,2
"558",70393618,96
"559",70400418,96
"560",70400418,96
"561",70407218,96
"562",70407218,96
"563",70414018,13
"564",70414018,96
"565",70414018,13
"566",70420818,13
"567",70420818,13
"568",70427618,96
"569",70434418,96
"570",70434418,96
"571",76044418,13
"572",76044418,13
"573",76044418,96
"574",70441218,96
"575",70448018,2
"576",70448018,96
"577",70454818,3
"578",70454818,7
"579",70468418,14
"580",70482018,3
"581",70482018,2
"582",70488818,3
"583",70488818,13
"584",70488818,96
"585",70495618,13
"586",70495618,13
"587",70495618,96
"588",70502418,7
"589",70502418,96
"590",70509218,96
"591",70509218,96
"592",70516018,5
"593",70516018,13
"594",70522818,14
"595",70522818,96
"596",70529618,96
"597",70536418,7
"598",70543218,16
"599",70543218,3
"600",70550018,3
"601",70563618,2
"602",70563618,1
"603",70577218,13
"604",70577218,13
"605",70577218,3
"606",70577218,13
"607",70584018,1
"608",70590818,96
"609",70597618,7
"610",70604418,14
"611",70604418,13
"612",70611218,7
"613",70618018,14
"614",70618018,13
"615",70624818,2
"616",70638418,96
"617",70638418,13
"618",70638418,13
"619",70645218,96
"620",73113618,-8
"621",70686018,1
"622",73120418,96
"623",73127218,96
"624",73120418,96
"625",73140818,-8
"626",73147618,-8
"627",70692818,96
"628",70692818,13
"629",70699618,1
"630",70706418,7
"631",70713218,96
"632",70713218,13
"633",70726818,2
"634",70720018,7
"635",70720018,2
"636",70720018,2
"637",70733618,13
"638",70747218,7
"639",70747218,13
"640",70747898,10
"641",70747218,13
"642",70754018,1
"643",70760818,1
"644",73154418,-8
"645",73161218,-8
"646",73161218,-8
"647",70774418,1
"648",70774418,3
"649",70788018,1
"650",70788018,1
"651",70794818,1
"652",70794818,1
"653",70801618,96
"654",70801618,16
"655",70801618,96
"656",70801618,13
"657",70801618,96
"658",76132818,16
"659",70815218,2
"660",76051218,2
"661",70828818,4
"662",70835618,2
"663",73174818,-8
"664",73181618,-8
"665",73188418,-8
"666",73181618,13
"667",70849218,7
"668",70849218,96
"669",70849218,2
"670",73195218,-8
"671",73195218,3
"672",73202018,-8
"673",70883218,96
"674",73202018,-8
"675",73208818,-8
"676",73208818,-8
"677",73215618,-8
"678",73215618,-8
"679",70890018,3
"680",70890018,3
"681",70896818,2
"682",70896818,1
"683",70903618,3
"684",70903618,14
"685",70903618,5
"686",70910418,5
"687",70917218,2
"688",70917218,7
"689",68646018,1
"690",70930818,16
"691",70937618,2
"692",70951218,2
"693",70951218,7
"694",70958018,1
"695",70958018,2
"696",70958018,7
"697",70958018,2
"698",70958018,10
"699",70964818,2
"700",70971618,13
"701",70978418,1
"702",70978418,13
"703",70985218,7
"704",70992018,2
"705",70985218,1
"706",70985218,2
"707",70998818,13
"708",70998818,7
"709",70998818,13
"710",71005618,1
"711",71019218,2
"712",71026018,4
"713",71032818,2
"714",71039618,2
"715",71039618,1
"716",71046418,2
"717",71053218,96
"718",71053218,7
"719",71060018,3
"720",71073618,96
"721",71080418,96
"722",71080418,7
"723",71087218,96
"724",71087218,13
"725",71100818,2
"726",71107618,2
"727",71121218,1
"728",71134818,2
"729",71134818,13
"730",71141618,96
"731",71141618,96
"732",71148418,96
"733",71148418,96
"734",71155218,13
"735",71162018,7
"736",71168818,7
"737",71162018,13
"738",71175618,96
"739",71175618,96
"740",69013218,3
"741",69013218,2
"742",71189218,96
"743",68938418,96
"744",71209618,2
"745",71216418,15
"746",71216418,13
"747",71236818,13
"748",71236818,96
"749",71243618,2
"750",71250418,13
"751",71250418,14
"752",71264018,7
"753",71264018,13
"754",73222418,96
"755",73222418,-8
"756",73229218,-8
"757",73229218,96
"758",71284418,7
"759",73242818,3
"760",71298018,2
"761",71304818,96
"762",71311618,13
"763",71318418,5
"764",71325218,3
"765",71338818,7
"766",71332018,96
"767",71332018,2
"768",71332018,13
"769",71332018,96
"770",71332018,3
"771",73249618,-8
"772",71352418,96
"773",71359218,3
"774",73256418,-8
"775",71366018,13
"776",71366018,13
"777",71366018,13
"778",71372818,1
"779",71372818,2
"780",71379618,2
"781",71379618,2
"782",71393218,13
"783",71400018,7
"784",71406818,2
"785",71420418,2
"786",71420418,7
"787",71427218,13
"788",71427218,1
"789",71427218,96
"790",71434018,96
"791",71440818,2
"792",71454418,7
"793",71461218,1
"794",71481618,2
"795",71481618,13
"796",71488418,2
"797",71488418,13
"798",71488418,13
"799",71495218,1
"800",71495218,2
"801",71502018,2
"802",71508818,2
"803",71522418,2
"804",71522418,2
"805",71529218,3
"806",71536018,1
"807",71536018,1
"808",71549618,2
"809",71549618,1
"810",71549618,10
"811",71563218,2
"812",71570018,1
"813",71570018,1
"814",71570018,7
"815",71570018,96
"816",71576818,13
"817",71583618,14
"818",71590418,13
"819",71590418,96
"820",71597218,13
"821",69047218,3
"822",71610818,2
"823",71617618,2
"824",71624418,7
"825",71631218,2
"826",71631218,1
"827",71638018,13
"828",71638018,14
"829",71638018,10
"830",71644818,16
"831",71651618,7
"832",71658418,3
"833",73263218,96
"834",71685618,96
"835",71692418,96
"836",71699218,96
"837",71706018,5
"838",71706018,96
"839",73270018,-8
"840",71719618,7
"841",71719618,13
"842",71726418,1
"843",73276818,-8
"844",73290418,96
"845",73283618,-8
"846",73297218,96
"847",73297218,3
"848",73297218,7
"849",71733218,16
"850",71733218,16
"851",71740018,3
"852",71740018,13
"853",71746818,13
"854",71753618,10
"855",71753618,13
"856",71767218,2
"857",71774018,3
"858",71787618,1
"859",71780818,96
"860",76017218,2
"861",71794418,3
"862",71794418,2
"863",71801218,1
"864",71801218,13
"865",71808018,1
"866",71814818,96
"867",71821618,96
"868",71821618,96
"869",71828418,96
"870",71835218,15
"871",71835218,14
"872",73304018,96
"873",68829618,2
"874",71842018,15
"875",71848818,1
"876",71862418,16
"877",71869218,13
"878",71869218,96
"879",71876018,15
"880",71882818,3
"881",69143098,3
"882",71896418,11
"883",71903218,96
"884",71903218,13
